popularity_rank,canonical_key,display_name,source_breadth,in_debian_popcon,in_homebrew,in_vcpkg,in_conan,debian_installed_max,debian_regular_use_max,debian_installed_sum,debian_regular_use_sum,homebrew_installs_365d,homebrew_requested_365d,homebrew_reverse_dependencies,vcpkg_reverse_dependencies,conan_literal_reverse_dependencies,popularity_proxy_raw,popularity_proxy_share_pct,cumulative_popularity_proxy_pct
181,libnfnetlink,libnfnetlink,3,1,1,0,1,237745,113913,238384,113961,357,6,3,0,3,0.00107432614,0.13705857,69.196025
182,protobuf-c,protobuf-c,4,1,1,1,1,256812,86732,257986,86809,52481,11496,12,1,1,0.00107218833,0.13678583,69.33281
183,libcanberra,libcanberra,3,1,1,1,0,131800,96642,440045,236719,554,93,2,1,0,0.001056687534,0.1348083,69.467619
184,gflags,gflags,4,1,1,1,1,2589,391,3908,445,94705,2452,18,13,8,0.001045950891,0.13343856,69.601057
185,libepoxy,libepoxy,4,1,1,1,1,168168,120899,180218,121901,88278,693,7,4,1,0.001043698991,0.13315127,69.734209
186,opencore-amr,opencore-amr,3,1,1,0,1,140739,104135,281561,208215,127238,840,8,0,0,0.001042356221,0.13297996,69.867188
187,fftw,fftw,3,1,1,0,1,850,30,1981,66,100628,14151,46,0,8,0.001041641726,0.13288881,70.000077
188,gstreamer,gstreamer,3,0,1,1,1,0,0,0,0,83300,51455,10,3,10,0.00103532518,0.13208297,70.13216
189,libice,libice,3,1,1,1,0,183940,110822,222940,111897,112731,228,15,2,0,0.00103242016,0.13171236,70.263873
190,libassuan,libassuan,3,1,1,1,0,125578,111320,127221,111461,359466,4164,12,2,0,0.001027895555,0.13113513,70.395008
191,libdatrie,libdatrie,4,1,1,1,1,194763,124914,210292,126001,315645,259,1,0,0,0.001025136531,0.13078314,70.525791
192,tinyxml2,tinyxml2,4,1,1,1,1,12529,2317,13043,2351,44178,2239,11,12,9,0.00101268214,0.12919425,70.654985
193,apr-util,apr-util,4,1,1,1,1,119048,22412,305909,24265,114304,3148,14,5,4,0.001011167201,0.12900098,70.783986
194,libgcrypt,libgcrypt,3,0,1,1,1,0,0,0,0,640456,24795,37,3,2,0.001010489672,0.12891455,70.912901
195,libxrandr,libxrandr,3,1,1,1,0,184394,109370,204827,110872,188346,1236,8,2,0,0.000997502017,0.12725763,71.040158
196,appstream,appstream,3,1,1,1,0,117532,83522,427707,225488,17327,1448,1,1,0,0.000991681052,0.12651501,71.166673
197,luajit,luajit,4,1,1,1,1,27459,6310,57097,12729,521952,54419,21,2,2,0.000990347636,0.1263449,71.293018
198,simdjson,simdjson,4,1,1,1,1,2510,702,2622,709,1334124,8375,7,2,1,0.000983029176,0.12541124,71.418429
199,rsync,rsync,3,1,1,0,1,152777,54985,152777,54985,110382,100821,3,0,0,0.000981674784,0.12523845,71.543668
200,libsamplerate,libsamplerate,4,1,1,1,1,158873,101138,166090,101389,132285,1926,21,1,0,0.000977587385,0.12471699,71.668385
201,double-conversion,double-conversion,4,1,1,1,1,105783,58695,106967,58774,145982,1901,7,9,3,0.000971958205,0.12399884,71.792384
202,glog,glog,3,0,1,1,1,0,0,0,0,84261,3740,18,15,6,0.000963004373,0.12285655,71.91524
203,libexif,libexif,4,1,1,1,1,142310,113426,151108,113957,43398,3022,12,0,2,0.000960922676,0.12259097,72.037831
204,lapack,lapack,3,1,1,1,0,173839,23421,356489,42473,2796,2614,0,16,0,0.000959866916,0.12245628,72.160288
205,svt-av1,svt-av1,3,1,1,1,0,106363,66746,118821,74634,692197,5860,8,0,0,0.000959373435,0.12239333,72.282681
206,jemalloc,jemalloc,4,1,1,1,1,222400,64965,223350,65062,22163,13001,6,0,3,0.000959235518,0.12237573,72.405057
207,jbigkit,jbigkit,3,1,1,1,0,222112,142848,246788,144132,212,211,0,0,0,0.00095757422,0.12216379,72.52722
208,libmtp,libmtp,3,1,1,1,0,120262,93787,321872,239125,1906,1836,1,1,0,0.000957568945,0.12216312,72.649384
209,libpsl,libpsl,4,1,1,1,1,145719,108428,157657,109664,114971,2002,6,1,2,0.000956824238,0.12206811,72.771452
210,x264,x264,3,1,1,1,0,133782,66348,146291,73074,531858,8476,11,0,0,0.00095390548,0.12169574,72.893147
211,libxpm,libxpm,4,1,1,1,1,207399,105319,214542,105757,15291,1245,8,1,1,0.000952886336,0.12156573,73.014713
212,libsm,libsm,3,1,1,1,0,183923,98949,222892,100730,110372,331,13,1,0,0.00094599883,0.12068704,73.1354
213,apr,apr,4,1,1,1,1,65860,42976,67902,43147,143993,1519,17,7,4,0.000945329121,0.1206016,73.256002
214,highway,highway,4,1,1,1,1,98771,68454,100756,68767,526617,3801,4,1,2,0.000939515764,0.11985996,73.375862
215,libnftnl,libnftnl,3,1,1,0,1,266673,114326,266768,114332,1470,11,2,0,0,0.000936017912,0.11941371,73.495275
216,libinput,libinput,2,1,0,0,1,136758,115706,278890,225387,0,0,0,0,0,0.000934649643,0.11923916,73.614515
217,zeromq,zeromq,3,0,1,1,1,0,0,0,0,221956,7388,28,6,6,0.000933998046,0.11915603,73.733671
218,pcre,pcre,3,0,1,1,1,0,0,0,0,60164,23231,11,6,9,0.000929164725,0.11853941,73.85221
219,lerc,lerc,3,1,0,1,1,181264,122678,202617,123832,0,0,0,0,2,0.000927076585,0.11827301,73.970483
220,glfw,glfw,2,0,1,0,1,0,0,0,0,48164,44137,10,0,10,0.000913579306,0.11655108,74.087034
221,libao,libao,3,1,1,1,0,124868,102002,250342,163217,3795,374,13,0,0,0.000906904586,0.11569954,74.202734
222,libzip,libzip,4,1,1,1,1,45078,16113,53332,16828,247537,22956,26,9,1,0.000906685987,0.11567166,74.318405
223,libxtst,libxtst,3,1,1,1,0,177020,110842,189792,111672,167361,291,4,1,0,0.000905406669,0.11550844,74.433914
224,x265,x265,3,1,1,1,0,107203,53122,117972,58170,665240,4853,10,0,0,0.000904996329,0.1154561,74.54937
225,libvpx,libvpx,4,1,1,1,1,92637,46356,108511,52481,555073,6008,12,1,1,0.000903809314,0.11530466,74.664674
226,lzo,lzo,3,0,1,1,1,0,0,0,0,688974,1713,24,1,4,0.000898583329,0.11463795,74.779312
227,make,make,2,0,1,0,1,0,0,0,0,101537,53543,1,0,10,0.000897289456,0.11447288,74.893785
228,re2,re2,4,1,1,1,1,88626,9812,89354,9882,103623,6012,15,4,6,0.000891812685,0.11377417,75.007559
229,stb,stb,2,0,0,1,1,0,0,0,0,0,0,0,14,9,0.00089082863,0.11364863,75.121208
230,cpuinfo,cpuinfo,3,1,0,1,1,85285,5899,85964,5966,0,0,0,6,9,0.000879258427,0.11217255,75.233381
231,minizip,minizip,3,0,1,1,1,0,0,0,0,46131,1604,14,9,8,0.000873453869,0.11143202,75.344813
232,libfido2,libfido2,3,1,1,1,0,254332,30260,254967,30328,124028,30211,10,0,0,0.000871676381,0.11120526,75.456018
233,gdal,gdal,4,1,1,1,1,36324,1023,110179,3371,119876,68522,9,3,4,0.000871611603,0.111197,75.567215
234,argon2,argon2,4,1,1,1,1,225024,84965,226160,85025,71863,2455,9,0,0,0.000867557908,0.11067984,75.677895
235,qtdeclarative,qtdeclarative,2,0,1,1,0,0,0,0,0,110210,1218,36,19,0,0.000864305683,0.11026493,75.78816
236,libxinerama,libxinerama,3,1,1,1,0,182275,108978,201917,110333,49338,667,8,0,0,0.000861033131,0.10984743,75.898007
237,unixodbc,unixodbc,3,1,1,1,0,53846,7480,194301,15768,233496,41084,27,3,0,0.000860756747,0.10981217,76.007819
238,libnotify,libnotify,3,1,1,1,0,141146,98826,321764,147569,25505,1597,2,0,0,0.00085935621,0.1096335,76.117453
239,ngtcp2,ngtcp2,2,1,0,1,0,131608,102993,280537,196038,0,0,0,0,0,0.000859114028,0.1096026,76.227055
240,libidn,libidn,3,1,1,0,1,160497,79270,166338,79576,116861,2102,7,0,2,0.000858687725,0.10954821,76.336604
241,isl,isl,3,1,1,0,1,186215,2085,186639,2129,513910,3618,14,0,1,0.000857921757,0.10945049,76.446054
242,libpciaccess,libpciaccess,3,1,1,0,1,179221,113750,192427,114594,41877,86,1,0,1,0.000856785939,0.10930559,76.55536
243,libyuv,libyuv,3,1,0,1,1,163402,105495,166308,105714,0,0,0,4,1,0.000851598684,0.10864382,76.664004
244,libbluray,libbluray,3,1,1,1,0,146354,73790,157058,78433,286240,15790,7,0,0,0.000850921938,0.10855748,76.772561
